ArrayList scenario: 1;;
"Insert [%]:	20";;
"RemoveAt [%]:	20";;
"At [%]:		50";;
GetIndexOf [%]:10;;
3;at;
3;at;
3;at;
12;removeAt;
3;at;
12;insert;
3;at;
3;at;
11;removeAt;
11;removeAt;
3;at;
3;at;
11;removeAt;
12;insert;
11;removeAt;
3;at;
3;at;
3;at;
27;getIndexOf;
3;at;
53;insert;
3;at;
3;at;
3;at;
12;removeAt;
3;at;
3;at;
12;removeAt;
17;at;
3;at;
3;at;
204;getIndexOf;
11;removeAt;
12;insert;
3;at;
11;insert;
3;at;
3;at;
11;insert;
3;at;
3;at;
137;getIndexOf;
3;at;
11;removeAt;
3;at;
3;at;
3;at;
123;getIndexOf;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
12;insert;
11;removeAt;
3;at;
11;insert;
3;at;
11;removeAt;
3;at;
13;removeAt;
3;at;
11;removeAt;
11;insert;
3;at;
3;at;
3;at;
11;removeAt;
38;removeAt;
23;at;
3;at;
13;removeAt;
33;insert;
28;removeAt;
40;removeAt;
3;at;
3;at;
11;removeAt;
3;at;
3;at;
11;removeAt;
13;insert;
59;getIndexOf;
3;at;
3;at;
11;removeAt;
14;removeAt;
18;at;
28;removeAt;
11;insert;
11;insert;
8;getIndexOf;
3;at;
11;insert;
3;at;
43;getIndexOf;
11;removeAt;
3;at;
39;insert;
23;at;
3;at;
11;insert;
3;at;
11;removeAt;
146;getIndexOf;
3;at;
11;insert;
3;at;
264;getIndexOf;
3;at;
3;at;
3;at;
32;removeAt;
11;removeAt;
12;insert;
27;removeAt;
5;at;
9;getIndexOf;
24;insert;
4;at;
3;at;
3;at;
264;getIndexOf;
12;insert;
23;removeAt;
23;removeAt;
7;at;
21;insert;
22;insert;
367;getIndexOf;
21;at;
5;at;
27;at;
6;at;
6;at;
6;at;
960;getIndexOf;
112;getIndexOf;
21;removeAt;
6;at;
34;insert;
6;at;
21;insert;
20;removeAt;
194;getIndexOf;
3;at;
3;at;
11;removeAt;
11;removeAt;
3;at;
3;at;
11;insert;
3;at;
160;getIndexOf;
3;at;
3;at;
12;insert;
11;insert;
194;getIndexOf;
6;at;
18;insert;
22;removeAt;
6;at;
5;at;
4;at;
12;insert;
11;removeAt;
13;insert;
34;getIndexOf;
3;at;
11;removeAt;
11;insert;
11;removeAt;
3;at;
11;insert;
11;insert;
3;at;
11;removeAt;
3;at;
12;insert;
3;at;
3;at;
11;insert;
11;removeAt;
24;at;
11;insert;
11;removeAt;
3;at;
194;getIndexOf;
3;at;
11;removeAt;
3;at;
3;at;
11;insert;
3;at;
11;removeAt;
37;getIndexOf;
3;at;
3;at;
11;insert;
3;at;
3;at;
3;at;
12;removeAt;
11;removeAt;
